Florida,County, Region ,Probability of 1 or More Named Storms Making Landfall in the Region,Probability of 1 or More Hurricanes Making Landfall in the Region,Probability of 1 or More Intense Hurricanes Making Landfall in the Region,Probability of 1 or More Named Storms Making Landfall in the County,Probability of 1 or More Hurricanes Making Landfall in the County,Probability of 1 or More Intense Hurricanes Making Landfall in the County,Probability of Tropical Storm-Force (>= 40 mph) Wind Gusts in the County,Probability of Hurricane-Force (>= 75 mph) Wind Gusts in the County,Probability of Intense Hurricane-Force (>= 115 mph) Wind Gusts in the County,50 Year Probability of 1 or More Named Storms Making Landfall in the Region,50 Year Probability of 1 or More Hurricanes Making Landfall in the Region,50 Year Probability of 1 or More Intense Hurricanes Making Landfall in the Region,50 Year Probability of 1 or More Named Storms Making Landfall in the County,50 Year Probability of 1 or More Hurricanes Making Landfall in the County,50 Year Probability of 1 or More Intense Hurricanes Making Landfall in the County,50 Year Probability of Tropical Storm-Force (>= 40 mph) Wind Gusts in the County,50 Year Probability of Hurricane-Force (>= 75 mph) Wind Gusts in the County,50 Year Probability of Intense Hurricane-Force (>= 115 mph) Wind Gusts in the County
Florida,Escambia,3,77.80%,52.20%,28.30%,6.40%,3.20%,1.40%,50.70%,17.30%,6.10%,>99.9%,>99.9%,>99.9%,83.70%,58.60%,32.70%,>99.9%,99.60%,82.30%
Florida,Flagler,7,30.40%,14.70%,4.30%,1.90%,0.80%,0.20%,17.00%,4.80%,1.80%,>99.9%,98.90%,69.70%,40.40%,20.30%,6.00%,99.50%,74.60%,39.50%
Florida,Franklin,4,47.10%,24.10%,2.90%,11.00%,4.90%,0.50%,36.50%,11.30%,2.90%,>99.9%,>99.9%,54.80%,96.20%,75.10%,13.50%,>99.9%,96.50%,55.40%
Florida,Gadsden,4,47.10%,24.10%,2.90%,4.50%,2.00%,0.20%,36.50%,11.30%,2.90%,>99.9%,>99.9%,54.80%,72.00%,42.10%,5.60%,>99.9%,96.50%,55.40%
Florida,Gilchrist,4,47.10%,24.10%,2.90%,3.30%,1.40%,0.20%,36.50%,11.30%,2.90%,>99.9%,>99.9%,54.80%,60.40%,32.80%,4.10%,>99.9%,96.50%,55.40%
Florida,Gulf,4,47.10%,24.10%,2.90%,4.20%,1.90%,0.20%,36.50%,11.30%,2.90%,>99.9%,>99.9%,54.80%,69.70%,40.10%,5.20%,>99.9%,96.50%,55.40%
Florida,Hernando,5,36.10%,14.30%,8.20%,3.20%,1.10%,0.60%,29.10%,0.90%,2.90%,>99.9%,98.80%,90.90%,58.80%,26.30%,15.60%,>99.9%,92.70%,55.40%
Florida,Hillsborough,5,36.10%,14.30%,8.20%,5.30%,1.80%,1.00%,29.10%,9.00%,2.90%,>99.9%,98.80%,90.90%,77.40%,39.90%,24.60%,>99.9%,92.70%,55.40%
Florida,Holmes,3,77.80%,52.20%,28.30%,6.70%,3.40%,1.50%,50.70%,17.30%,6.10%,>99.9%,>99.9%,>99.9%,85.40%,60.80%,34.30%,>99.9%,99.60%,82.30%
Florida,Indian River,7,30.40%,14.70%,4.30%,2.10%,0.90%,0.30%,17.00%,4.80%,1.80%,>99.9%,98.90%,69.70%,44.40%,22.70%,6.80%,99.50%,74.60%,39.50%
Florida,Jefferson,4,47.10%,24.10%,2.90%,1.30%,0.60%,0.10%,36.50%,11.30%,2.90%,>99.9%,>99.9%,54.80%,30.50%,14.50%,1.60%,>99.9%,96.50%,55.40%
Florida,Lafayette,4,47.10%,24.10%,2.90%,6.10%,2.70%,0.30%,36.50%,11.30%,2.90%,>99.9%,>99.9%,54.80%,82.30%,52.30%,7.40%,>99.9%,96.50%,55.40%
Florida,Lee,5,36.10%,14.30%,8.20%,7.40%,2.60%,1.50%,29.10%,9.00%,2.90%,>99.9%,98.90%,90.90%,88.10%,51.70%,33.10%,>99.9%,92.70%,55.40%
Florida,Leon,4,47.10%,24.10%,2.90%,7.00%,3.10%,0.30%,36.50%,11.30%,2.90%,>99.9%,>99.9%,54.80%,86.60%,57.60%,8.60%,>99.9%,96.50%,55.40%
Florida,Levy,4,47.10%,24.10%,2.90%,7.10%,3.10%,0.30%,36.50%,11.30%,2.90%,>99.9%,>99.9%,54.80%,86.90%,58.10%,8.70%,>99.9%,96.50%,55.40%
Florida,Liberty,4,47.10%,24.10%,2.90%,5.60%,2.50%,0.30%,36.50%,11.30%,2.90%,>99.9%,>99.9%,54.80%,79.60%,49.30%,6.90%,>99.9%,96.50%,55.40%
Florida,Madison,4,47.10%,24.10%,2.90%,6.80%,3.00%,0.30%,36.50%,11.30%,2.90%,>99.9%,>99.9%,54.80%,85.70%,56.40%,8.30%,>99.9%,96.50%,55.40%
Florida,Manatee,5,36.10%,14.30%,8.20%,3.50%,1.20%,0.70%,29.10%,9.00%,2.90%,>99.9%,98.90%,90.90%,62.70%,28.80%,17.20%,>99.9%,92.70%,55.40%
Florida,Martin,6,56.90%,45.20%,24.10%,4.10%,2.90%,1.40%,51.70%,20.10%,7.90%,>99.9%,>99.9%,>99.9%,68.40%,55.90%,31.10%,>99.9%,99.90%,90.00%
Florida,Miami-Dade,6,56.90%,45.20%,24.10%,14.40%,10.50%,4.90%,51.70%,20.10%,7.90%,>99.9%,>99.9%,>99.9%,98.80%,95.50%,75.30%,>99.9%,99.90%,90.00%
Florida,Monroe,6,56.90%,45.20%,24.10%,37.10%,28.20%,14.10%,51.70%,20.10%,7.90%,>99.9%,>99.9%,>99.9%,>99.9%,>99.9%,98.60%,>99.9%,99.90%,90.00%
Florida,Nassau,7,30.40%,14.70%,4.30%,1.00%,0.40%,0.10%,17.00%,4.80%,1.80%,>99.9%,98.90%,69.70%,24.10%,11.40%,3.20%,99.50%,74.60%,39.50%
Florida,Okaloosa,3,77.80%,52.20%,28.30%,8.20%,4.10%,1.90%,50.70%,17.30%,6.10%,>99.9%,>99.9%,>99.9%,90.90%,68.60%,40.50%,>99.9%,99.60%,82.30%
Florida,Okeechobee,7,30.40%,14.70%,4.30%,2.60%,1.10%,0.30%,17.00%,4.80%,1.80%,>99.9%,98.90%,69.70%,51.00%,26.80%,8.10%,99.50%,74.60%,39.50%
Florida,Orange,7,30.40%,14.70%,4.30%,1.50%,0.60%,0.20%,17.00%,4.80%,1.80%,>99.9%,98.90%,69.70%,33.00%,16.10%,4.70%,99.50%,74.60%,39.50%
Florida,Osceola,7,30.40%,14.70%,4.30%,3.70%,1.60%,0.40%,17.00%,4.80%,1.80%,>99.9%,98.90%,69.70%,64.20%,36.20%,11.50%,99.50%,74.60%,39.50%
Florida,Palm Beach,6,56.90%,45.20%,24.10%,10.60%,7.70%,3.60%,51.70%,20.10%,7.90%,>99.9%,>99.9%,>99.9%,95.60%,89.10%,63.20%,>99.9%,99.90%,90.00%
Florida,Pasco,5,36.10%,14.30%,8.20%,3.40%,1.20%,0.70%,29.10%,9.00%,2.90%,>99.9%,98.90%,90.90%,61.50%,28.00%,16.60%,>99.9%,92.70%,55.40%
Florida,Pinellas,5,36.10%,14.30%,8.20%,7.40%,2.60%,1.50%,29.10%,9.00%,2.90%,>99.9%,98.90%,90.90%,88.10%,51.70%,33.10%,>99.9%,92.70%,55.40%
Florida,Putnam,7,30.40%,14.70%,4.30%,1.50%,0.60%,0.20%,17.00%,4.80%,1.80%,>99.9%,98.90%,69.70%,33.00%,16.10%,4.70%,99.50%,74.60%,39.50%
Florida,Santa Rosa,3,77.80%,52.20%,28.30%,8.00%,4.00%,1.80%,50.70%,17.30%,6.10%,>99.9%,>99.9%,>99.9%,90.30%,67.60%,39.70%,>99.9%,99.60%,82.30%
Florida,Sarasota,5,36.10%,14.30%,8.20%,6.30%,2.20%,1.20%,29.10%,9.00%,2.90%,>99.9%,98.90%,90.90%,83.10%,45.80%,28.80%,>99.9%,92.70%,55.40%
Florida,Seminole,7,30.40%,14.70%,4.30%,1.10%,0.50%,0.10%,17.00%,4.80%,1.80%,>99.9%,98.90%,69.70%,26.60%,12.70%,3.60%,99.50%,74.60%,39.50%
Florida,St. Johns,7,30.40%,14.70%,4.30%,4.10%,1.80%,0.50%,17.00%,4.80%,1.80%,>99.9%,98.90%,69.70%,68.70%,39.80%,12.90%,99.50%,74.60%,39.50%
Florida,St Lucie,7,30.40%,14.70%,4.30%,2.60%,1.20%,0.30%,17.00%,4.80%,1.80%,>99.9%,98.90%,69.70%,51.60%,27.20%,8.30%,99.50%,74.60%,39.50%
Florida,Taylor,4,47.10%,24.10%,2.90%,9.70%,4.30%,0.50%,36.50%,11.30%,2.90%,>99.9%,>99.9%,54.80%,94.20%,70.20%,11.80%,>99.9%,96.50%,55.40%
Florida,Volusia,7,30.40%,14.70%,4.30%,4.40%,2.00%,0.50%,17.00%,4.80%,1.80%,>99.9%,98.90%,69.70%,71.10%,42.10%,13.80%,99.50%,74.60%,39.50%
Florida,Wakulla,4,47.10%,24.10%,2.90%,4.40%,1.90%,0.20%,36.50%,11.30%,2.90%,>99.9%,>99.9%,54.80%,71.10%,41.20%,5.40%,>99.9%,96.50%,55.40%
Florida,Walton,3,77.80%,52.20%,28.30%,8.90%,4.40%,2.00%,50.70%,17.30%,6.10%,>99.9%,>99.9%,>99.9%,92.50%,71.40%,42.90%,>99.9%,99.60%,82.30%
Florida,Washington,4,47.10%,24.10%,2.90%,4.80%,2.10%,0.20%,36.50%,11.30%,2.90%,>99.9%,>99.9%,54.80%,73.90%,43.80%,5.90%,>99.9%,96.50%,55.40%
