index,id,name,date,record_identifier,status_of_system,latitude,longitude,maximum_sustained_wind_knots,maximum_pressure,34_kt_ne,34_kt_se,34_kt_sw,34_kt_nw,50_kt_ne,50_kt_se,50_kt_sw,50_kt_nw,64_kt_ne,64_kt_se,64_kt_sw,64_kt_nw
43192,AL032004,CHARLEY,8/13/2004 19:45,L,HU,26.6,-82.2,130,941,,,,,,,,,,,,
43193,AL032004,CHARLEY,8/13/2004 20:45,L,HU,26.9,-82.1,125,942,,,,,,,,,,,,
43194,AL032004,CHARLEY,8/14/2004 0:00,,HU,28.1,-81.6,75,970,40,75,40,40,30,40,30,25,20,20,20,10
43195,AL032004,CHARLEY,8/14/2004 6:00,,HU,30.1,-80.8,75,993,75,100,40,40,50,75,30,25,25,50,20,10
43196,AL032004,CHARLEY,8/14/2004 12:00,,HU,32.3,-79.7,65,988,75,100,40,40,50,75,0,0,25,40,0,0
43197,AL032004,CHARLEY,8/14/2004 14:00,L,HU,33,-79.4,70,992,,,,,,,,,,,,
43198,AL032004,CHARLEY,8/14/2004 16:00,L,HU,33.8,-78.7,65,997,,,,,,,,,,,,
43199,AL032004,CHARLEY,8/14/2004 18:00,,TS,34.5,-78.1,60,1000,75,75,30,30,50,50,15,15,0,0,0,0
43200,AL032004,CHARLEY,8/15/2004 0:00,,EX,36.9,-75.9,40,1012,75,75,20,0,0,0,0,0,0,0,0,0
43201,AL032004,CHARLEY,8/15/2004 6:00,,EX,39.3,-73.8,35,1014,75,75,20,0,0,0,0,0,0,0,0,0
43202,AL032004,CHARLEY,8/15/2004 12:00,,EX,41.2,-71.1,30,1018,0,0,0,0,0,0,0,0,0,0,0,0
43203,AL042004,DANIELLE,8/13/2004 12:00,,TD,12.3,-21.8,30,1009,0,0,0,0,0,0,0,0,0,0,0,0
43204,AL042004,DANIELLE,8/13/2004 18:00,,TD,12.4,-23,30,1009,0,0,0,0,0,0,0,0,0,0,0,0
43205,AL042004,DANIELLE,8/14/2004 0:00,,TS,12.6,-24.2,35,1009,45,45,45,45,0,0,0,0,0,0,0,0
43206,AL042004,DANIELLE,8/14/2004 6:00,,TS,12.9,-25.5,40,1004,50,50,50,50,0,0,0,0,0,0,0,0
43207,AL042004,DANIELLE,8/14/2004 12:00,,TS,13.2,-26.8,45,1004,60,50,50,50,0,0,0,0,0,0,0,0
43208,AL042004,DANIELLE,8/14/2004 18:00,,TS,13.5,-28.1,55,994,90,75,75,75,25,25,25,25,0,0,0,0
43209,AL042004,DANIELLE,8/15/2004 0:00,,HU,13.8,-29.3,65,987,120,75,75,90,40,40,40,40,20,20,20,20
43210,AL042004,DANIELLE,8/15/2004 6:00,,HU,14.1,-30.8,75,981,120,75,75,100,50,40,40,50,25,20,20,25
43211,AL042004,DANIELLE,8/15/2004 12:00,,HU,14.7,-32.1,80,978,120,75,75,120,75,40,40,75,25,20,20,25
43212,AL042004,DANIELLE,8/15/2004 18:00,,HU,15.2,-33.5,85,975,120,75,75,120,60,40,40,60,25,25,20,25
43213,AL042004,DANIELLE,8/16/2004 0:00,,HU,16,-34.8,90,970,100,90,60,100,40,60,30,40,20,20,15,20
43214,AL042004,DANIELLE,8/16/2004 6:00,,HU,16.8,-36,90,970,90,90,60,90,40,60,30,40,20,20,15,20
43215,AL042004,DANIELLE,8/16/2004 12:00,,HU,17.7,-37.2,90,970,75,90,60,75,60,60,40,40,20,20,20,20
43216,AL042004,DANIELLE,8/16/2004 18:00,,HU,19,-38.2,95,964,75,90,60,60,60,60,40,40,25,25,20,20
43217,AL042004,DANIELLE,8/17/2004 0:00,,HU,20.3,-38.9,95,965,90,90,60,60,70,70,40,40,25,25,20,20
43218,AL042004,DANIELLE,8/17/2004 6:00,,HU,21.7,-39.6,90,970,90,90,60,60,70,70,30,30,25,25,15,15
43219,AL042004,DANIELLE,8/17/2004 12:00,,HU,23.3,-40,90,970,90,90,60,60,70,70,30,30,25,25,10,10
43220,AL042004,DANIELLE,8/17/2004 18:00,,HU,24.6,-40.3,85,974,90,90,60,60,70,70,30,30,20,20,20,20
43221,AL042004,DANIELLE,8/18/2004 0:00,,HU,25.9,-40.6,75,981,90,90,60,60,60,60,40,30,20,20,20,15
43222,AL042004,DANIELLE,8/18/2004 6:00,,HU,27.3,-40.3,65,985,90,60,40,60,50,30,20,20,20,20,0,0
43223,AL042004,DANIELLE,8/18/2004 12:00,,TS,28.1,-39.8,55,994,90,60,0,60,50,30,0,20,0,0,0,0
43224,AL042004,DANIELLE,8/18/2004 18:00,,TS,28.9,-38.9,45,1005,90,60,0,25,0,0,0,0,0,0,0,0
43225,AL042004,DANIELLE,8/19/2004 0:00,,TS,29.3,-37.8,40,1007,90,60,0,60,0,0,0,0,0,0,0,0
43226,AL042004,DANIELLE,8/19/2004 6:00,,TS,29.7,-37.7,40,1007,90,50,0,40,0,0,0,0,0,0,0,0
43227,AL042004,DANIELLE,8/19/2004 12:00,,TS,29.9,-37.7,35,1007,90,0,0,0,0,0,0,0,0,0,0,0
43228,AL042004,DANIELLE,8/19/2004 18:00,,TS,29.9,-37.2,35,1007,90,0,0,0,0,0,0,0,0,0,0,0
43229,AL042004,DANIELLE,8/20/2004 0:00,,TS,29.8,-36.8,35,1009,90,0,0,0,0,0,0,0,0,0,0,0
43230,AL042004,DANIELLE,8/20/2004 6:00,,TS,30.2,-37,35,1010,90,0,0,0,0,0,0,0,0,0,0,0
43231,AL042004,DANIELLE,8/20/2004 12:00,,TS,30.5,-37.2,35,1011,90,0,0,0,0,0,0,0,0,0,0,0
43232,AL042004,DANIELLE,8/20/2004 18:00,,TD,30.9,-37.6,30,1012,0,0,0,0,0,0,0,0,0,0,0,0
43233,AL042004,DANIELLE,8/21/2004 0:00,,TD,30.9,-38,30,1012,0,0,0,0,0,0,0,0,0,0,0,0
43234,AL042004,DANIELLE,8/21/2004 6:00,,TD,30.6,-38.6,30,1013,0,0,0,0,0,0,0,0,0,0,0,0
43235,AL042004,DANIELLE,8/21/2004 12:00,,TD,30.7,-38.9,25,1014,0,0,0,0,0,0,0,0,0,0,0,0
43236,AL042004,DANIELLE,8/21/2004 18:00,,LO,30.5,-39.2,25,1014,0,0,0,0,0,0,0,0,0,0,0,0
43237,AL042004,DANIELLE,8/22/2004 0:00,,LO,30.3,-39.8,25,1015,0,0,0,0,0,0,0,0,0,0,0,0
43238,AL042004,DANIELLE,8/22/2004 6:00,,LO,30.2,-40.3,25,1015,0,0,0,0,0,0,0,0,0,0,0,0
43239,AL042004,DANIELLE,8/22/2004 12:00,,LO,30.3,-40.8,25,1015,0,0,0,0,0,0,0,0,0,0,0,0
43240,AL042004,DANIELLE,8/22/2004 18:00,,LO,30.4,-41.2,25,1016,0,0,0,0,0,0,0,0,0,0,0,0
43241,AL042004,DANIELLE,8/23/2004 0:00,,LO,30.8,-42,25,1016,0,0,0,0,0,0,0,0,0,0,0,0
43242,AL042004,DANIELLE,8/23/2004 6:00,,LO,31.7,-42.5,25,1017,0,0,0,0,0,0,0,0,0,0,0,0
43243,AL042004,DANIELLE,8/23/2004 12:00,,LO,32.3,-43.3,25,1017,0,0,0,0,0,0,0,0,0,0,0,0
43244,AL042004,DANIELLE,8/23/2004 18:00,,LO,33.1,-43.8,25,1017,0,0,0,0,0,0,0,0,0,0,0,0
43245,AL042004,DANIELLE,8/24/2004 0:00,,LO,33.9,-44.2,20,1018,0,0,0,0,0,0,0,0,0,0,0,0
43246,AL042004,DANIELLE,8/24/2004 6:00,,LO,34.7,-44.6,20,1018,0,0,0,0,0,0,0,0,0,0,0,0
43247,AL042004,DANIELLE,8/24/2004 12:00,,LO,35.5,-45,20,1019,0,0,0,0,0,0,0,0,0,0,0,0
43248,AL042004,DANIELLE,8/24/2004 18:00,,LO,36.4,-45.2,20,1019,0,0,0,0,0,0,0,0,0,0,0,0
43249,AL052004,EARL,8/13/2004 18:00,,TD,9,-45.6,30,1011,0,0,0,0,0,0,0,0,0,0,0,0
43250,AL052004,EARL,8/14/2004 0:00,,TD,9.2,-47.4,30,1011,0,0,0,0,0,0,0,0,0,0,0,0
43251,AL052004,EARL,8/14/2004 6:00,,TD,9.6,-49.2,30,1011,0,0,0,0,0,0,0,0,0,0,0,0
43252,AL052004,EARL,8/14/2004 12:00,,TD,10.1,-51.4,30,1011,0,0,0,0,0,0,0,0,0,0,0,0
43253,AL052004,EARL,8/14/2004 18:00,,TS,10.5,-53.5,35,1010,75,0,0,75,0,0,0,0,0,0,0,0
43254,AL052004,EARL,8/15/2004 0:00,,TS,11,-55.9,35,1010,75,0,0,75,0,0,0,0,0,0,0,0
43255,AL052004,EARL,8/15/2004 6:00,,TS,11.5,-58.3,45,1009,90,0,0,75,0,0,0,0,0,0,0,0
43256,AL052004,EARL,8/15/2004 12:00,,TS,11.8,-60.8,45,1009,90,0,0,75,0,0,0,0,0,0,0,0
43257,AL052004,EARL,8/15/2004 18:00,,TS,12.1,-62.8,35,1010,75,0,0,75,0,0,0,0,0,0,0,0
43258,AL062004,FRANCES,8/25/2004 0:00,,TD,11.1,-35.2,25,1009,0,0,0,0,0,0,0,0,0,0,0,0
43259,AL062004,FRANCES,8/25/2004 6:00,,TD,11.2,-36.8,30,1008,0,0,0,0,0,0,0,0,0,0,0,0
43260,AL062004,FRANCES,8/25/2004 12:00,,TD,11.3,-38.3,30,1007,0,0,0,0,0,0,0,0,0,0,0,0
43261,AL062004,FRANCES,8/25/2004 18:00,,TS,11.5,-39.8,35,1005,40,20,20,40,0,0,0,0,0,0,0,0
43262,AL062004,FRANCES,8/26/2004 0:00,,TS,11.9,-41.5,40,1003,50,30,30,50,0,0,0,0,0,0,0,0
43263,AL062004,FRANCES,8/26/2004 6:00,,TS,12.3,-42.9,45,1000,60,40,40,60,0,0,0,0,0,0,0,0
43264,AL062004,FRANCES,8/26/2004 12:00,,TS,12.8,-44.5,55,994,65,50,50,65,30,20,20,30,0,0,0,0
43265,AL062004,FRANCES,8/26/2004 18:00,,HU,13.3,-45.8,65,987,70,55,55,70,35,20,20,35,15,0,0,15
43266,AL062004,FRANCES,8/27/2004 0:00,,HU,13.7,-46.8,70,984,75,60,60,75,40,30,30,40,15,0,0,15
43267,AL062004,FRANCES,8/27/2004 6:00,,HU,14.2,-47.8,75,980,75,60,60,75,40,30,30,40,15,15,15,15
43268,AL062004,FRANCES,8/27/2004 12:00,,HU,14.7,-48.5,90,970,80,65,65,80,40,30,30,40,20,15,15,20
43269,AL062004,FRANCES,8/27/2004 18:00,,HU,15.4,-49.3,100,962,90,80,80,90,45,35,35,45,20,20,20,20
43270,AL062004,FRANCES,8/28/2004 0:00,,HU,15.9,-50,100,962,90,80,80,90,45,35,35,45,20,20,20,20
43271,AL062004,FRANCES,8/28/2004 6:00,,HU,16.6,-50.9,100,962,90,90,90,90,50,40,40,50,20,20,20,20
43272,AL062004,FRANCES,8/28/2004 12:00,,HU,17.2,-51.6,105,958,90,90,90,90,50,50,50,50,25,25,25,25
43273,AL062004,FRANCES,8/28/2004 18:00,,HU,17.7,-52.3,115,948,100,90,90,90,60,50,55,60,30,25,30,30
43274,AL062004,FRANCES,8/29/2004 0:00,,HU,18.1,-52.9,115,948,110,100,100,110,65,50,60,65,30,25,30,30
43275,AL062004,FRANCES,8/29/2004 6:00,,HU,18.4,-53.6,115,948,120,100,100,120,65,50,60,65,35,25,30,35
43276,AL062004,FRANCES,8/29/2004 12:00,,HU,18.6,-54.4,115,948,135,110,110,135,70,50,60,70,40,25,30,40
43277,AL062004,FRANCES,8/29/2004 18:00,,HU,18.8,-55,110,948,150,110,110,150,75,50,60,75,40,25,30,45
43278,AL062004,FRANCES,8/30/2004 0:00,,HU,18.9,-55.8,105,954,150,110,110,150,75,50,60,75,40,25,30,45
43279,AL062004,FRANCES,8/30/2004 6:00,,HU,19,-56.8,100,958,150,110,110,150,75,50,70,90,40,25,30,45
43280,AL062004,FRANCES,8/30/2004 12:00,,HU,19.2,-58.1,100,956,150,110,120,150,90,50,70,90,45,30,30,45
43281,AL062004,FRANCES,8/30/2004 18:00,,HU,19.4,-59.3,110,948,160,120,120,160,90,70,70,90,50,40,40,50
43282,AL062004,FRANCES,8/31/2004 0:00,,HU,19.6,-60.7,110,946,160,130,120,160,90,80,70,90,50,40,40,50
43283,AL062004,FRANCES,8/31/2004 6:00,,HU,19.8,-62.1,115,950,160,130,120,160,90,80,70,90,55,45,45,55
43284,AL062004,FRANCES,8/31/2004 12:00,,HU,20,-63.5,120,949,160,130,120,160,90,90,70,90,55,45,45,55
43285,AL062004,FRANCES,8/31/2004 18:00,,HU,20.3,-65,125,942,160,130,120,160,100,90,75,90,55,45,45,60
43286,AL062004,FRANCES,9/1/2004 0:00,,HU,20.6,-66.4,120,941,160,130,120,160,110,100,75,100,65,50,45,60
43287,AL062004,FRANCES,9/1/2004 6:00,,HU,21,-67.9,120,939,160,130,120,160,120,100,75,100,70,55,45,60
43288,AL062004,FRANCES,9/1/2004 7:00,P,HU,21.1,-68.1,120,935,,,,,,,,,,,,
43289,AL062004,FRANCES,9/1/2004 12:00,,HU,21.4,-69.1,120,937,160,130,120,160,120,100,75,100,70,55,45,60
43290,AL062004,FRANCES,9/1/2004 18:00,,HU,21.8,-70.4,120,941,160,130,120,160,120,100,75,100,70,55,45,60
43291,AL062004,FRANCES,9/2/2004 0:00,,HU,22.2,-71.4,120,939,160,130,120,160,120,100,75,100,70,60,45,60
43292,AL062004,FRANCES,9/2/2004 6:00,,HU,22.7,-72.5,125,937,160,130,120,160,120,100,75,100,70,60,45,60
43293,AL062004,FRANCES,9/2/2004 7:30,W,HU,22.8,-72.8,125,936,,,,,,,,,,,,
43294,AL062004,FRANCES,9/2/2004 12:00,,HU,23.2,-73.5,120,939,160,130,120,160,120,100,75,100,70,60,45,60
43295,AL062004,FRANCES,9/2/2004 18:00,,HU,23.8,-74.3,115,948,160,140,120,160,120,100,75,100,70,60,45,60
43296,AL062004,FRANCES,9/2/2004 19:30,L,HU,24,-74.5,110,948,,,,,,,,,,,,
43297,AL062004,FRANCES,9/3/2004 0:00,,HU,24.2,-75,105,948,160,150,120,160,120,100,75,100,70,60,45,60
43298,AL062004,FRANCES,9/3/2004 5:30,L,HU,24.6,-75.6,100,954,,,,,,,,,,,,
43299,AL062004,FRANCES,9/3/2004 6:00,,HU,24.7,-75.7,100,954,160,150,120,150,120,100,75,100,70,65,45,65
43300,AL062004,FRANCES,9/3/2004 10:00,L,HU,25.1,-76.1,95,956,,,,,,,,,,,,
43301,AL062004,FRANCES,9/3/2004 12:00,,HU,25.3,-76.3,95,958,165,150,120,160,120,100,75,100,70,70,45,70
43302,AL062004,FRANCES,9/3/2004 18:00,,HU,25.7,-77.1,90,960,170,150,120,160,125,100,75,100,75,75,45,75
43303,AL062004,FRANCES,9/4/2004 0:00,,HU,26,-77.5,85,960,175,160,120,160,125,100,80,110,80,70,45,75
43304,AL062004,FRANCES,9/4/2004 6:00,,HU,26.4,-77.9,85,960,175,160,120,160,125,100,80,110,85,60,50,75
43305,AL062004,FRANCES,9/4/2004 10:00,L,HU,26.6,-78.2,90,961,,,,,,,,,,,,
43306,AL062004,FRANCES,9/4/2004 12:00,,HU,26.8,-78.5,90,962,175,160,120,160,125,100,80,110,85,60,50,75
43307,AL062004,FRANCES,9/4/2004 18:00,,HU,26.8,-79.1,90,962,175,160,125,160,125,100,90,120,75,60,50,75
43308,AL062004,FRANCES,9/5/2004 0:00,,HU,27,-79.4,95,958,175,160,125,160,125,100,90,120,75,60,50,75
43309,AL062004,FRANCES,9/5/2004 4:30,L,HU,27.2,-80.2,90,960,,,,,,,,,,,,
43310,AL062004,FRANCES,9/5/2004 6:00,,HU,27.2,-80.2,90,960,175,160,125,160,125,100,75,120,75,60,40,60
43311,AL062004,FRANCES,9/5/2004 12:00,,HU,27.4,-80.7,80,969,175,150,125,125,80,80,40,40,60,30,30,30
43312,AL062004,FRANCES,9/5/2004 18:00,,TS,27.8,-81.7,60,975,175,125,125,125,40,30,25,25,0,0,0,0
