,index,id,name,date,record_identifier,status_of_system,latitude,longitude,maximum_sustained_wind_knots,maximum_pressure,34_kt_ne,34_kt_se,34_kt_sw,34_kt_nw,50_kt_ne,50_kt_se,50_kt_sw,50_kt_nw,64_kt_ne,64_kt_se,64_kt_sw,64_kt_nw,lat/long,address
1032,1032,AL081861,UNNAMED,1861-11-02 10:00:00,L,HU,34.7,-77.6,70,,,,,,,,,,,,,,"34.7,-77.6","Saw Grass Drive, Onslow County, North Carolina, United States"
1037,1037,AL081861,UNNAMED,1861-11-03 08:00:00,L,TS,41.0,-72.3,60,,,,,,,,,,,,,,"41.0,-72.3","21, West Water Street, Sag Harbor, Suffolk County, New York, 11963, United States"
1038,1038,AL081861,UNNAMED,1861-11-03 09:00:00,L,TS,41.2,-72.0,60,,,,,,,,,,,,,,"41.2,-72.0","Suffolk County, New York, United States"
1214,1214,AL061863,UNNAMED,1863-09-18 13:00:00,L,TS,34.6,-77.1,60,,,,,,,,,,,,,,"34.6,-77.1","Carteret County, North Carolina, United States"
1230,1230,AL091863,UNNAMED,1863-09-29 12:00:00,L,TS,29.3,-94.8,60,,,,,,,,,,,,,,"29.3,-94.8","Henry Beissner House, Ball Street - Avenue H, Galveston, Galveston County, Texas, 77550, United States"
1308,1308,AL021865,UNNAMED,1865-06-30 12:00:00,L,TS,26.0,-97.5,50,,,,,,,,,,,,,,"26.0,-97.5","Buckeye Court, Brownsville, Cameron County, Texas, 78526, United States"
1361,1361,AL041865,UNNAMED,1865-09-13 21:00:00,L,HU,29.8,-93.4,90,,,,,,,,,,,,,,"29.8,-93.4","Cameron Parish, Louisiana, United States"
1366,1366,AL051865,UNNAMED,1865-09-07 00:00:00,L,TS,29.7,-92.0,60,,,,,,,,,,,,,,"29.7,-92.0","Vermilion Parish, Louisiana, United States"
1390,1390,AL071865,UNNAMED,1865-10-23 10:00:00,L,HU,24.6,-81.7,90,,,,,,,,,,,,,,"24.6,-81.7","Monroe County, Florida, United States"
1392,1392,AL071865,UNNAMED,1865-10-23 14:00:00,L,HU,25.4,-81.1,90,,,,,,,,,,,,,,"25.4,-81.1","Monroe County, Florida, United States"
1418,1418,AL011866,UNNAMED,1866-07-15 12:00:00,L,HU,28.5,-96.5,90,,,,,,,,,,,,,,"28.5,-96.5","Indianola, Calhoun County, Texas, United States"
1530,1530,AL011867,UNNAMED,1867-06-22 14:00:00,L,HU,32.9,-79.7,70,,,,,,,,,,,,,,"32.9,-79.7","Charleston County, South Carolina, United States"
1603,1603,AL071867,UNNAMED,1867-10-04 15:00:00,L,HU,29.2,-91.0,90,,,,,,,,,,,,,,"29.2,-91.0","Terrebonne Parish, Louisiana, United States"
1612,1612,AL071867,UNNAMED,1867-10-06 15:00:00,L,HU,29.6,-83.4,70,,,,,,,,,,,,,,"29.6,-83.4","Dixie County, Florida, United States"
1677,1677,AL021868,UNNAMED,1868-10-04 16:00:00,L,TS,29.9,-85.4,60,,,,,,,,,,,,,,"29.9,-85.4","Gulf County, Florida, United States"
1725,1725,AL021869,UNNAMED,1869-08-17 07:00:00,L,HU,28.1,-96.8,90,,,,,,,,,,,,,,"28.1,-96.8","Calhoun County, Texas, United States"
1746,1746,AL051869,UNNAMED,1869-09-05 12:00:00,L,HU,29.2,-90.0,70,,,,,,,,,,,,,,"29.2,-90.0","Jefferson Parish, Louisiana, United States"
1757,1757,AL061869,UNNAMED,1869-09-08 21:00:00,L,HU,41.0,-71.9,100,963.0,,,,,,,,,,,,,"41.0,-71.9","Suffolk County, New York, United States"
1758,1758,AL061869,UNNAMED,1869-09-08 22:00:00,L,HU,41.4,-71.7,100,965.0,,,,,,,,,,,,,"41.4,-71.7","Buckeye Brook Road, Charlestown, South County, Rhode Island, 02894, United States"
1799,1799,AL101869,UNNAMED,1869-10-04 19:00:00,L,HU,41.3,-70.5,90,,,,,,,,,,,,,,"41.3,-70.5","Edgartown, Dukes County, Massachusetts, 02539, United States"
1800,1800,AL101869,UNNAMED,1869-10-04 20:00:00,L,HU,41.7,-70.4,90,,,,,,,,,,,,,,"41.7,-70.4","Power Line, West Barnstable, Barnstable, Barnstable County, Massachusetts, 02668, United States"
1801,1801,AL101869,UNNAMED,1869-10-04 23:00:00,L,HU,43.7,-70.1,90,,,,,,,,,,,,,,"43.7,-70.1","248, Church Road, Cliff Island, Portland, Cumberland County, Maine, 04019, United States"
1936,1936,AL091870,UNNAMED,1870-10-20 14:00:00,L,HU,24.7,-82.8,80,,,,,,,,,,,,,,"24.7,-82.8","Monroe County, Florida, United States"
1938,1938,AL091870,UNNAMED,1870-10-20 20:00:00,L,HU,26.0,-81.8,80,,,,,,,,,,,,,,"26.0,-81.8","Collier County, Florida, United States"
1982,1982,AL011871,UNNAMED,1871-06-04 07:00:00,L,TS,29.1,-95.1,50,999.0,,,,,,,,,,,,,"29.1,-95.1","26423, Cat Trail, Pointe West, Galveston, Galveston County, Texas, 77554, United States"
1996,1996,AL021871,UNNAMED,1871-06-09 17:00:00,L,TS,29.2,-95.0,50,,,,,,,,,,,,,,"29.2,-95.0","Galveston, Galveston County, Texas, United States"
2015,2015,AL031871,UNNAMED,1871-08-17 02:00:00,L,HU,27.1,-80.2,100,,,,,,,,,,,,,,"27.1,-80.2","8564, Southeast Nicolete Lane, Martin County, Florida, 33455, United States"
2039,2039,AL031871,UNNAMED,1871-08-23 00:00:00,L,TS,31.2,-81.4,60,,,,,,,,,,,,,,"31.2,-81.4","Hawkins Island Drive, Glynn County, Georgia, 31522, United States"
2076,2076,AL041871,UNNAMED,1871-08-25 05:00:00,L,HU,27.1,-80.3,90,,,,,,,,,,,,,,"27.1,-80.3","Tropical Plantation Airport, Southwest Fishermans Wharf Drive, Martin County, Florida, 34997, United States"
2123,2123,AL061871,UNNAMED,1871-09-06 14:00:00,L,HU,29.2,-83.0,70,,,,,,,,,,,,,,"29.2,-83.0","Orange, Levy County, Florida, 32625, United States"
2156,2156,AL071871,UNNAMED,1871-10-05 16:00:00,L,TS,30.0,-83.9,60,,,,,,,,,,,,,,"30.0,-83.9","Taylor County, Florida, United States"
2189,2189,AL011872,UNNAMED,1872-07-11 05:00:00,L,TS,29.1,-89.1,50,,,,,,,,,,,,,,"29.1,-89.1","Plaquemines Parish, Louisiana, United States"
2191,2191,AL011872,UNNAMED,1872-07-11 08:00:00,L,TS,30.2,-89.0,50,,,,,,,,,,,,,,"30.2,-89.0","Harrison County, Mississippi, United States"
2340,2340,AL051872,UNNAMED,1872-10-23 08:00:00,L,TS,27.9,-82.7,50,,,,,,,,,,,,,,"27.9,-82.7","49th Street North & 140th Avenue North, 49th Street, Largo, Pinellas County, Florida, 33760, United States"
2348,2348,AL051872,UNNAMED,1872-10-25 01:00:00,L,TS,34.4,-77.7,50,,,,,,,,,,,,,,"34.4,-77.7","250, Windsor Court, Pender County, North Carolina, 28443, United States"
2367,2367,AL011873,UNNAMED,1873-06-02 11:00:00,L,TS,30.8,-81.4,40,,,,,,,,,,,,,,"30.8,-81.4","Camden County, Georgia, United States"
2441,2441,AL031873,UNNAMED,1873-09-19 15:00:00,L,HU,29.9,-84.4,70,,,,,,,,,,,,,,"29.9,-84.4","1535, Alligator Drive, Franklin County, Florida, 32346, United States"
2453,2453,AL041873,UNNAMED,1873-09-23 10:00:00,L,TS,27.8,-82.8,50,,,,,,,,,,,,,,"27.8,-82.8","Gulf Boulevard & #14800, Gulf Boulevard, Mitchell Beach, Madeira Beach, Pinellas County, Florida, 33785, United States"
2505,2505,AL051873,UNNAMED,1873-10-07 01:00:00,L,HU,26.5,-82.2,100,959.0,,,,,,,,,,,,,"26.5,-82.2","Captiva, Lee County, Florida, 33924, United States"
2531,2531,AL011874,UNNAMED,1874-07-04 20:00:00,L,TS,28.5,-96.2,50,,,,,,,,,,,,,,"28.5,-96.2","Matagorda County, Texas, United States"
2649,2649,AL061874,UNNAMED,1874-09-28 03:00:00,L,HU,29.1,-82.9,70,,,,,,,,,,,,,,"29.1,-82.9","Levy County, Florida, United States"
2652,2652,AL061874,UNNAMED,1874-09-28 18:00:00,L,HU,32.8,-80.0,80,981.0,,,,,,,,,,,,,"32.8,-80.0","Fuseler Road, Murry Hill, Charleston, Charleston County, South Carolina, 29407, United States"
2775,2775,AL031875,UNNAMED,1875-09-16 21:00:00,L,HU,27.7,-97.2,100,,,,,,,,,,,,,,"27.7,-97.2","Corpus Christi, Nueces County, Texas, United States"
2799,2799,AL041875,UNNAMED,1875-09-27 13:00:00,L,TS,30.1,-85.7,50,,,,,,,,,,,,,,"30.1,-85.7","Upper Grand Lagoon, Bay County, Florida, 32411, United States"
2873,2873,AL021876,UNNAMED,1876-09-17 14:00:00,L,HU,34.4,-77.6,80,980.0,,,,,,,,,,,,,"34.4,-77.6","Topsail Beach, Pender County, North Carolina, United States"
2954,2954,AL051876,UNNAMED,1876-10-20 05:00:00,L,HU,25.8,-81.4,90,973.0,,,,,,,,,,,,,"25.8,-81.4","Monroe County, Florida, United States"
3007,3007,AL021877,UNNAMED,1877-09-18 16:00:00,L,HU,29.2,-91.0,70,,,,,,,,,,,,,,"29.2,-91.0","Terrebonne Parish, Louisiana, United States"
3013,3013,AL021877,UNNAMED,1877-09-19 20:00:00,L,HU,30.4,-86.6,70,,,,,,,,,,,,,,"30.4,-86.6","Miller Time Charter Boats, Miracle Strip Parkway, Okaloosa County, Florida, 32548, United States"
3099,3099,AL041877,UNNAMED,1877-10-03 05:00:00,L,HU,30.0,-85.5,100,,,,,,,,,,,,,,"30.0,-85.5","US 98, Mexico Beach, Bay County, Florida, 32410, United States"
3171,3171,AL071877,UNNAMED,1877-10-26 21:00:00,L,TS,29.3,-83.2,40,,,,,,,,,,,,,,"29.3,-83.2","Dixie County, Florida, United States"
3197,3197,AL011878,UNNAMED,1878-07-02 15:00:00,L,TS,26.0,-81.8,40,,,,,,,,,,,,,,"26.0,-81.8","Collier County, Florida, United States"
3312,3312,AL051878,UNNAMED,1878-09-07 21:00:00,L,TS,24.7,-80.9,60,,,,,,,,,,,,,,"24.7,-80.9","Toms Harbor Keys, Marathon, Monroe County, Florida, United States"
3314,3314,AL051878,UNNAMED,1878-09-08 02:00:00,L,TS,25.2,-81.0,60,,,,,,,,,,,,,,"25.2,-81.0","Monroe County, Florida, United States"
3324,3324,AL051878,UNNAMED,1878-09-10 11:00:00,L,HU,28.6,-82.6,90,,,,,,,,,,,,,,"28.6,-82.6","Hernando County, Florida, United States"
3333,3333,AL051878,UNNAMED,1878-09-12 12:00:00,L,HU,32.5,-80.4,80,,,,,,,,,,,,,,"32.5,-80.4","Colleton County, South Carolina, United States"
3435,3435,AL081878,UNNAMED,1878-10-10 21:00:00,L,TS,29.9,-85.4,50,,,,,,,,,,,,,,"29.9,-85.4","Gulf County, Florida, United States"
3537,3537,AL111878,UNNAMED,1878-10-23 04:00:00,L,HU,34.8,-77.1,90,963.0,,,,,,,,,,,,,"34.8,-77.1","Hunters Creek Road, Carteret County, North Carolina, 28582, United States"
3619,3619,AL021879,UNNAMED,1879-08-18 12:00:00,L,HU,34.5,-76.8,100,971.0,,,,,,,,,,,,,"34.5,-76.8",United States
3622,3622,AL021879,UNNAMED,1879-08-19 06:00:00,L,HU,41.4,-70.8,70,984.0,,,,,,,,,,,,,"41.4,-70.8","Chilmark, Dukes County, Massachusetts, United States"
3646,3646,AL031879,UNNAMED,1879-08-23 02:00:00,L,HU,29.6,-94.4,90,964.0,,,,,,,,,,,,,"29.6,-94.4","Chambers County, Texas, United States"
3669,3669,AL041879,UNNAMED,1879-09-01 16:00:00,L,HU,29.5,-91.4,110,,,,,,,,,,,,,,"29.5,-91.4","Wax Lake Delta, St. Mary Parish, Louisiana, United States"
3692,3692,AL051879,UNNAMED,1879-10-07 05:00:00,L,TS,29.0,-89.2,50,,,,,,,,,,,,,,"29.0,-89.2","Plaquemines Parish, Louisiana, United States"
3726,3726,AL061879,UNNAMED,1879-10-16 08:00:00,L,TS,30.4,-86.6,50,,,,,,,,,,,,,,"30.4,-86.6","Miller Time Charter Boats, Miracle Strip Parkway, Okaloosa County, Florida, 32548, United States"
3745,3745,AL071879,UNNAMED,1879-10-27 21:00:00,L,TS,29.0,-82.7,60,,,,,,,,,,,,,,"29.0,-82.7","Withlacoochee Bay Trail, Citrus County, Florida, 34449, United States"
3785,3785,AL011880,UNNAMED,1880-06-24 15:00:00,L,TS,28.7,-95.7,40,,,,,,,,,,,,,,"28.7,-95.7","Dressing Point, Matagorda County, Texas, United States"
3826,3826,AL021880,UNNAMED,1880-08-13 01:00:00,L,HU,25.8,-97.0,130,931.0,,,,,,,,,,,,,"25.8,-97.0",México
3880,3880,AL041880,UNNAMED,1880-08-29 12:00:00,L,HU,28.2,-80.6,90,,,,,,,,,,,,,,"28.2,-80.6","141, East Claridge Street, Sea Park, South Patrick Shores, Brevard County, Florida, 32937, United States"
3887,3887,AL041880,UNNAMED,1880-08-31 04:00:00,L,HU,29.7,-84.8,70,,,,,,,,,,,,,,"29.7,-84.8","Franklin County, Florida, United States"
3946,3946,AL061880,UNNAMED,1880-09-08 16:00:00,L,TS,29.8,-83.6,50,,,,,,,,,,,,,,"29.8,-83.6","Taylor County, Florida, United States"
3950,3950,AL061880,UNNAMED,1880-09-09 10:00:00,L,HU,34.7,-77.1,70,987.0,,,,,,,,,,,,,"34.7,-77.1","Carteret County, North Carolina, United States"
4021,4021,AL091880,UNNAMED,1880-10-08 19:00:00,L,HU,28.7,-83.0,70,,,,,,,,,,,,,,"28.7,-83.0",
4070,4070,AL111880,UNNAMED,1880-10-23 08:00:00,L,EX,41.3,-70.0,60,,,,,,,,,,,,,,"41.3,-70.0","Windswept Cranberry Bog, Polpis Bike Path, Monomoy, Nantucket, Nantucket County, Massachusetts, 02554, United States"
4072,4072,AL111880,UNNAMED,1880-10-23 13:00:00,L,EX,44.0,-68.8,60,991.0,,,,,,,,,,,,,"44.0,-68.8","Vinalhaven, Knox County, Maine, 04863, United States"
4089,4089,AL011881,UNNAMED,1881-08-03 13:00:00,L,TS,30.2,-88.3,50,,,,,,,,,,,,,,"30.2,-88.3","Mobile County, Alabama, United States"
4135,4135,AL021881,UNNAMED,1881-08-13 21:00:00,L,TS,28.0,-96.9,40,,,,,,,,,,,,,,"28.0,-96.9","Aransas County, Texas, United States"
4193,4193,AL051881,UNNAMED,1881-08-28 02:00:00,L,HU,31.7,-81.1,90,970.0,,,,,,,,,,,,,"31.7,-81.1","Liberty County, Georgia, United States"
4212,4212,AL061881,UNNAMED,1881-09-09 16:00:00,L,HU,33.9,-78.1,90,,,,,,,,,,,,,,"33.9,-78.1","Brunswick County, North Carolina, United States"
4288,4288,AL021882,UNNAMED,1882-09-10 02:00:00,L,HU,30.4,-86.8,110,949.0,,,,,,,,,,,,,"30.4,-86.8","Navarre, Santa Rosa County, Florida, 32566, United States"
4307,4307,AL031882,UNNAMED,1882-09-15 05:00:00,L,TS,29.8,-93.7,50,,,,,,,,,,,,,,"29.8,-93.7","Cameron Parish, Louisiana, United States"
4320,4320,AL041882,UNNAMED,1882-09-22 22:00:00,L,TS,34.7,-77.0,50,,,,,,,,,,,,,,"34.7,-77.0","Honker Drive, Carteret County, North Carolina, 28594, United States"
4326,4326,AL041882,UNNAMED,1882-09-24 05:00:00,L,TS,40.7,-72.8,40,,,,,,,,,,,,,,"40.7,-72.8","Suffolk County, New York, United States"
4373,4373,AL061882,UNNAMED,1882-10-11 04:00:00,L,HU,29.5,-83.3,70,,,,,,,,,,,,,,"29.5,-83.3","Dixie County, Florida, United States"
4508,4508,AL031883,UNNAMED,1883-09-11 13:00:00,L,HU,33.9,-78.5,90,,,,,,,,,,,,,,"33.9,-78.5","Angel Trace Road, Sunset Beach, Brunswick County, North Carolina, 28468, United States"
4629,4629,AL031884,UNNAMED,1884-09-11 01:00:00,L,TS,31.6,-81.2,40,,,,,,,,,,,,,,"31.6,-81.2","McIntosh County, Georgia, United States"
4767,4767,AL021885,UNNAMED,1885-08-25 12:00:00,L,HU,32.6,-80.1,90,970.0,,,,,,,,,,,,,"32.6,-80.1","4219, Sea Forest Drive, Kiawah Island, Charleston County, South Carolina, 29455, United States"
4789,4789,AL031885,UNNAMED,1885-08-30 23:00:00,L,TS,30.1,-85.7,50,,,,,,,,,,,,,,"30.1,-85.7","Upper Grand Lagoon, Bay County, Florida, 32411, United States"
4811,4811,AL041885,UNNAMED,1885-09-21 03:00:00,L,TS,29.0,-89.4,50,,,,,,,,,,,,,,"29.0,-89.4","Plaquemines Parish, Louisiana, United States"
4813,4813,AL041885,UNNAMED,1885-09-21 12:00:00,L,TS,30.0,-85.6,50,,,,,,,,,,,,,,"30.0,-85.6","Bay County, Florida, United States"
4848,4848,AL061885,UNNAMED,1885-09-26 04:00:00,L,TS,29.6,-89.0,60,,,,,,,,,,,,,,"29.6,-89.0","Plaquemines Parish, Louisiana, United States"
4898,4898,AL081885,UNNAMED,1885-10-11 22:00:00,L,TS,29.4,-83.2,60,,,,,,,,,,,,,,"29.4,-83.2","Shired Island, Dixie County, Florida, United States"
4915,4915,AL011886,UNNAMED,1886-06-14 16:00:00,L,HU,29.6,-94.2,85,,,,,,,,,,,,,,"29.6,-94.2","Texas, United States"
4939,4939,AL021886,UNNAMED,1886-06-21 11:00:00,L,HU,30.1,-84.0,85,,,,,,,,,,,,,,"30.1,-84.0","Jefferson County, Florida, United States"
4968,4968,AL031886,UNNAMED,1886-06-30 21:00:00,L,HU,29.7,-85.2,85,,,,,,,,,,,,,,"29.7,-85.2","CR 30, Eleven Mile, Franklin County, Florida, United States"
4997,4997,AL041886,UNNAMED,1886-07-19 01:00:00,L,HU,28.8,-82.7,70,,,,,,,,,,,,,,"28.8,-82.7","Citrus County, Florida, United States"
5055,5055,AL051886,UNNAMED,1886-08-20 13:00:00,L,HU,28.1,-96.8,130,925.0,,,,,,,,,,,,,"28.1,-96.8","Calhoun County, Texas, United States"
5227,5227,AL101886,UNNAMED,1886-10-12 22:00:00,L,HU,29.8,-93.5,105,,,,,,,,,,,,,,"29.8,-93.5","Cameron Parish, Louisiana, United States"
5331,5331,AL031887,UNNAMED,1887-06-14 07:00:00,L,TS,30.2,-88.7,35,,,,,,,,,,,,,,"30.2,-88.7","Jackson County, Mississippi, United States"
5365,5365,AL041887,UNNAMED,1887-07-27 15:00:00,L,HU,30.4,-86.6,75,,,,,,,,,,,,,,"30.4,-86.6","Miller Time Charter Boats, Miracle Strip Parkway, Okaloosa County, Florida, 32548, United States"
5548,5548,AL091887,UNNAMED,1887-09-21 17:00:00,L,HU,26.1,-97.2,75,973.0,,,,,,,,,,,,,"26.1,-97.2","Cameron County, Texas, United States"
5675,5675,AL161887,UNNAMED,1887-10-30 01:00:00,L,TS,28.1,-82.8,40,,,,,,,,,,,,,,"28.1,-82.8","Palm Harbor, Pinellas County, Florida, 34683, United States"
5791,5791,AL011888,UNNAMED,1888-06-17 06:00:00,L,HU,28.7,-95.7,70,,,,,,,,,,,,,,"28.7,-95.7","Dressing Point, Matagorda County, Texas, United States"
5803,5803,AL021888,UNNAMED,1888-07-05 16:00:00,L,TS,28.8,-95.6,50,,,,,,,,,,,,,,"28.8,-95.6","Matagorda County, Texas, United States"
5818,5818,AL031888,UNNAMED,1888-08-16 19:00:00,L,HU,25.8,-80.1,110,,,,,,,,,,,,,,"25.8,-80.1","Miami-Dade County, Florida, United States"
5830,5830,AL031888,UNNAMED,1888-08-19 16:00:00,L,HU,29.1,-90.7,95,,,,,,,,,,,,,,"29.1,-90.7","Terrebonne Parish, Louisiana, United States"
5893,5893,AL051888,UNNAMED,1888-09-08 00:00:00,L,TS,26.7,-80.1,45,,,,,,,,,,,,,,"26.7,-80.1","3350, Saranac Avenue, Westgate-Belvedere Homes, Palm Beach County, Florida, 33409, United States"
5927,5927,AL061888,UNNAMED,1888-09-26 13:00:00,L,HU,41.6,-69.9,70,985.0,,,,,,,,,,,,,"41.6,-69.9","Chatham, Barnstable County, Massachusetts, United States"
5943,5943,AL071888,UNNAMED,1888-10-11 01:00:00,L,HU,29.2,-83.1,95,970.0,,,,,,,,,,,,,"29.2,-83.1","Levy County, Florida, United States"
5946,5946,AL071888,UNNAMED,1888-10-11 16:00:00,L,TS,33.9,-78.1,60,,,,,,,,,,,,,,"33.9,-78.1","Brunswick County, North Carolina, United States"
6082,6082,AL021889,UNNAMED,1889-06-17 15:00:00,L,TS,29.1,-82.9,45,,,,,,,,,,,,,,"29.1,-82.9","Levy County, Florida, United States"
6268,6268,AL061889,UNNAMED,1889-09-23 04:00:00,L,HU,29.1,-89.8,70,,,,,,,,,,,,,,"29.1,-89.8",United States
6271,6271,AL061889,UNNAMED,1889-09-23 13:00:00,L,TS,30.3,-88.7,60,,,,,,,,,,,,,,"30.3,-88.7","Jackson County, Mississippi, United States"
6347,6347,AL091889,UNNAMED,1889-10-05 23:00:00,L,TS,24.7,-81.1,35,,,,,,,,,,,,,,"24.7,-81.1","20th Street Ocean, Marathon, Monroe County, Florida, United States"
6349,6349,AL091889,UNNAMED,1889-10-06 01:00:00,L,TS,25.2,-80.9,40,,,,,,,,,,,,,,"25.2,-80.9","Monroe County, Florida, United States"
6418,6418,AL021890,UNNAMED,1890-08-27 16:00:00,L,TS,29.1,-90.9,50,,,,,,,,,,,,,,"29.1,-90.9","Terrebonne Parish, Louisiana, United States"
6472,6472,AL011891,UNNAMED,1891-07-05 22:00:00,L,HU,28.8,-95.5,80,,,,,,,,,,,,,,"28.8,-95.5",United States
6559,6559,AL031891,UNNAMED,1891-08-24 15:00:00,L,HU,25.4,-80.2,70,,,,,,,,,,,,,,"25.4,-80.2","Miami-Dade County, Florida, United States"
6694,6694,AL071891,UNNAMED,1891-10-07 08:00:00,L,TS,25.2,-81.3,45,,,,,,,,,,,,,,"25.2,-81.3","Florida, United States"
6797,6797,AL011892,UNNAMED,1892-06-10 23:00:00,L,TS,25.7,-81.3,40,,,,,,,,,,,,,,"25.7,-81.3","Monroe County, Florida, United States"
6935,6935,AL041892,UNNAMED,1892-09-12 07:00:00,L,TS,29.0,-90.6,50,,,,,,,,,,,,,,"29.0,-90.6","Wine Island, Terrebonne Parish, Louisiana, United States"
7107,7107,AL091892,UNNAMED,1892-10-24 19:00:00,L,TS,27.6,-82.8,45,,,,,,,,,,,,,,"27.6,-82.8","Hillsborough County, Florida, United States"
7141,7141,AL011893,UNNAMED,1893-06-15 23:00:00,L,TS,29.9,-83.7,60,,,,,,,,,,,,,,"29.9,-83.7","Taylor County, Florida, United States"
